sample,"Absolute depth (2010 scale, cm)",Acamptocladius,Bryophaenocladius/Gymnometriocnemus,Chaetocladius,Chironomus anthracinus-type,Chironomus plumosus-type,Chironomini,Cladopelma lateralis-type,Cladotanytarsus,Corynocera ambigua mentum,Corynoneura arctica-type,Corynoneura type A,Corynoneura/Thienemanniella 2 medians 2 accessory teeth,Thienemanniella clavicornis-type,Thienemanniella special (may have to be recheched w slides),Cricotopus B/Paratrichocladius,Dicrotendipes nervosus-type,Dicrotendipes notatus-type,Einfeldia,Eukiefferiella,Endochironomus impar-type,Glyptotendipes pallens-type,Glyptotendipes barbipes-type,Head capsule,Heterotrissocladius marcidus-type,Limnophyes,Microtendipes,Micropectra insignilobus-type,Micropsectra radialis-ype,Orthocladiinae,Paraphaenocladius,Paracladopelma,Parakiefferiella bathophila-type,Parasmittia A,Paratanytarsus dark,Paratanytarsus pale,Parorthocladius,Paratendipes albimanus-type,Phaenopsectra flavipes-type,Polypedilum nubeculosum-type,Polypedilum A Hofmann,Procladius,Prodiamesa,Pseudorthocladius,Psectrocladius,Psectrocladius (Allops/Mesops),Psectrocladius septentrionalis-type,Psectrocladius sordidellus-type,Smittia,Stictochironomus rosenschoeldi-type,Sergentia/Stictochironomus B? yi,Synorthocladius,Ablabesmyia,Paramerina,Zavrelimyia A,Thienemannimyia-type,"Zavrelimyia/Paramerina, dorsal pores in line",Tanypodinae,Tanytarsini,Tanytarsus mendax-type,Tanytarsus pallidicornis-type,Zalutschia B,Trichoptera mandible,Ablabesmyia thoracic horn (pupae),Chaoborus flavicans-type,Daphnia ephippia,Ephemeroptera mandible,Mite,Sialis mandible,Trichoptera clypeus,Procladius thoracic horn (pupa) BAC type,"Strange mandible, could be Plecoptera",Pygopodium,Floatablast (bryozoa. Plumatella),"Sessoblast (Plumatella), Bryozoa",Procladius thoracic horn (pupa) non BAC type,Chydoridae ephippium,Zavrelimyia TH,Chaoborus TH,Trichoptera pygopodium,Strange can-opener mandible,Strange mandible,Trichoptera anal claw,Tricho mandible pyramidal,Needle like mandible,Dashyelea,Sialis labrum,Strange hc,Sucker mandible,Asymetrical beetle mentum,Beetle mandible,Bear claw,Strange shovel mandible,Strange can opener mandible,Ceratopogonid,Bagger mandible,tergite indet,Hypopygium,Strange sucker mandible,Simuliid hypostoma,Sciaridae,Odonata claw,Heteroptera head
ROY 09 A 6a-2 55-56 0.5 cm3,675.5,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 6a-2 58-59,678.5,0,0,0,1,1,1,0,1,0,0,0,9,0,3,0,0,0,1,0,0,2,0,1,0,1,0,45,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,6,0,1,0,0,0,1,7,0,0,0,0,0,8,3,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09A 6a 60-61,680.5,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 6a-2 63-64,683.5,0,0,0,1,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,27,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,9,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 6a-2 68-69 1 cm3,688.5,0,0,0,2,0,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,110,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,1,6,0,0,0,0,0,2,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 A 6a-2 70-71,690.5,1,1,0,1,0,0,0,2,0,2,0,3,0,0,0,1,0,0,0,0,0,1,0,1,0,0,53,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,2,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 A 6a-2 73-74,693.5,1,0,0,8,0,0,2,8,0,3,0,12,0,0,0,5,0,0,0,0,0,0,0,1,1,0,201,0,0,0,0,3,0,0,1,0,0,1,0,1,10,0,0,1,15,0,2,0,0,0,3,14,0,0,2,0,1,7,6,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 6a-2 75-76,695.5,0,0,0,11,0,0,0,0,0,1,0,4,0,3,0,0,1,0,0,0,0,0,0,1,0,1,33,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,1,0,2,0,0,0,1,6,1,1,0,0,0,6,4,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 6a-2 78-79,698.5,0,0,0,2,0,0,0,0,0,4,0,0,2,4,0,9,3,0,0,0,0,0,1,1,1,0,86,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,1,0,11,0,1,0,1,37,0,0,0,0,2,28,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 A 6a-2 80-81,700.5,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,69,0,1,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,2,1,6,0,0,0,0,14,0,1,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 6a-2 83-84,703.5,1,0,0,1,0,0,0,0,0,8,0,0,1,5,1,5,2,0,0,0,0,0,1,1,2,0,96,0,13,0,0,2,0,18,0,0,0,0,0,1,7,0,0,0,1,0,120,0,0,0,1,17,0,3,0,0,0,6,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 6a-2 85-86,705.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,64,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,1,0,0,0,4,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 6a-2 88-89,708.5,0,0,0,2,0,0,0,0,0,3,0,0,0,1,0,4,1,0,0,0,0,0,0,1,0,0,153,0,0,0,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,12,0,3,0,0,0,8,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 6a-2 90-91,710.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,35,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,12,0,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 A 5B-3 12-13,713.5,0,0,0,24,0,0,0,0,0,3,0,2,0,0,0,4,1,0,0,0,0,0,0,3,1,0,187,0,1,0,0,0,0,10,0,0,0,0,0,0,9,0,0,1,0,0,35,0,0,0,4,22,0,4,0,0,0,9,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 5b-3 14-15,715.5,0,0,1,2,0,0,0,0,0,0,0,0,0,3,0,4,1,0,0,0,0,0,0,0,0,0,42,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,2,0,0,0,0,0,1,8,0,1,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 5b-3 17-18,718.5,0,0,0,2,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,64,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,2,0,0,0,2,3,0,0,1,0,0,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 A 5b-3 19-20,720.5,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 A 5b-3 22-23,723.5,0,0,0,5,0,0,0,0,0,3,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,71,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,1,0,1,0,0,0,0,14,0,0,1,2,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 5b-3 24-25,725.5,1,0,0,6,0,1,2,0,0,4,0,1,1,1,0,7,0,0,0,0,0,0,0,1,0,0,64,0,0,0,0,0,0,0,0,0,2,1,0,2,2,0,0,0,0,0,1,0,0,0,3,20,0,0,0,0,1,12,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 5b-3 27-28,728.5,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,73,0,0,0,0,0,0,0,0,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,3,20,1,0,1,0,0,1,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 5b-3 29-30 ,730.5,0,0,0,3,0,1,0,1,0,1,0,5,0,0,0,1,0,0,0,0,0,0,1,1,1,0,41,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1,9,1,0,1,0,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 5b-3 32-33,733.5,0,0,0,6,0,1,0,1,0,6,1,1,4,1,0,7,1,0,1,0,1,0,1,1,0,0,78,0,2,0,0,0,0,0,0,0,1,0,0,1,17,0,0,0,0,0,0,0,0,0,5,26,0,0,0,0,0,7,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 5b-3 34-35,735.5,0,0,0,8,0,1,0,0,0,4,0,1,2,0,0,1,0,0,0,0,1,0,0,1,0,0,24,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,5,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 5b-3 39-40,740.5,0,0,0,3,0,0,0,0,0,3,0,1,0,0,0,5,3,0,0,0,0,0,0,0,0,0,27,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,1,0,0,0,0,14,0,1,0,0,0,7,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 5b-3 2 42-43check,743.5,0,0,0,5,0,1,0,0,0,3,0,1,2,1,0,2,0,0,0,0,0,0,1,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,4,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 5b-3 44-45,745.5,0,0,0,18,0,0,0,0,0,4,0,3,1,3,1,6,0,0,0,0,0,0,0,1,0,0,20,0,1,0,1,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,1,8,2,1,0,0,0,1,4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 5b-3 49-50,750.5,0,0,0,7,0,3,0,0,0,8,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,16,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,10,2,0,0,0,0,4,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 A 5b-3 52-53 ,753.5,0,0,0,2,0,0,1,0,0,5,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,112,0,1,0,0,0,0,3,0,0,0,0,0,0,13,0,0,0,0,1,6,0,0,0,1,5,0,2,0,0,0,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 5b-3 54-55,755.5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 5b-3 57-58,758.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 5b-3 59-60,760.5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 A 5b-3 62-63,763.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,17,0,0,0,0,0,0,15,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,8,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 5b-3 64-65,765.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,48,19,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 A 5b-3 67-68,768.5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,17,0,0,0,0,0,5,0,0,0,0,0,0,10,0,0,0,0,0,9,0,0,0,0,0,0,4,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 5b-3 69-70,770.5,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,27,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,1,8,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 5b-3 72-73,773.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,15,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 5b-3 74-75,775.5,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,18,3,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,7,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 5b-3 77-78,778.5,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,19,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 6a-2 33-34,653.5,0,0,0,5.357142857,0,0,1.785714286,5.357142857,0,0,0,10.71428571,0,0,0,1.785714286,0,0,0,1.785714286,0,0,0,0,0,1.785714286,28.57142857,0,3.571428571,0,0,3.571428571,0,0,0,0,0,1.785714286,0,0,1.785714286,0,0,0,3.571428571,0,0,0,0,1.785714286,0,12.5,0,0,0,0,0,5.357142857,3.571428571,5.357142857,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 6a-2 38-39,658.5,0,0,0,8.196721311,0,1.639344262,3.278688525,4.918032787,0,0,0,13.1147541,0,0,0,1.639344262,0,0,0,0,0,0,0,0,0,0,11.47540984,0,0,0,0,1.639344262,0,0,0,0,0,0,0,0,4.918032787,0,0,0,3.278688525,0,0,0,0,0,3.278688525,14.75409836,0,0,3.278688525,0,0,8.196721311,6.557377049,9.836065574,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 6a-2 43-44,663.5,0,0,0,3.846153846,0,0,1.923076923,3.846153846,0,0,0,17.30769231,0,0,0,0,0,0,0,1.923076923,0,0,1.923076923,3.846153846,0,0,15.38461538,0,1.923076923,0,0,1.923076923,0,0,0,0,0,0,0,0,5.769230769,0,0,0,3.846153846,0,0,0,0,0,1.923076923,19.23076923,0,0,3.846153846,0,0,0,0,11.53846154,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 A 6a-2 48-49,668.5,0,0,0,3.529411765,0,1.176470588,0,2.352941176,0,0,0,9.411764706,0,1.176470588,0,1.176470588,0,0,0,0,2.352941176,0,0,0,1.176470588,0,43.52941176,0,2.352941176,0,0,0,1.176470588,0,0,0,0,0,0,0,2.352941176,0,0,0,3.529411765,0,1.176470588,1.176470588,0,0,0,10.58823529,0,0,0,0,0,2.352941176,1.176470588,8.235294118,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 A 6a-2 53-54,673.5,0,1.041666667,0,1.041666667,0,1.041666667,0,1.041666667,1.041666667,0,0,8.333333333,0,3.125,0,0,0,0,0,0,1.041666667,0,1.041666667,0,0,0,61.45833333,0,2.083333333,0,0,1.041666667,0,0,0,0,0,1.041666667,0,0,3.125,0,0,0,1.041666667,0,0,1.041666667,0,0,1.041666667,0,0,0,1.041666667,0,0,0,3.125,5.208333333,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 A 6a-2 55-56 0.5 cm3,675.5,0,0,0,0,0,2.083333333,0,6.25,0,0,0,2.083333333,0,0,0,0,0,0,0,0,0,0,0,2.083333333,2.083333333,0,70.83333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 6a-2 58-59,678.5,0,0,0,0.99009901,0.99009901,0.99009901,0,0.99009901,0,0,0,8.910891089,0,2.97029703,0,0,0,0.99009901,0,0,1.98019802,0,0.99009901,0,0.99009901,0,44.55445545,0,0,0,0,1.98019802,0,0,0,0,0,0,0,0,0.99009901,0,0,0,5.940594059,0,0.99009901,0,0,0,0.99009901,6.930693069,0,0,0,0,0,7.920792079,2.97029703,5.940594059,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09A 6a 60-61,680.5,0,0,0,0,0,1.886792453,0,1.886792453,0,0,0,5.660377358,0,0,0,1.886792453,0,0,0,0,0,0,0,0,0,0,64.1509434,0,0,0,0,5.660377358,0,0,0,0,0,1.886792453,0,0,1.886792453,0,0,0,1.886792453,0,0,0,0,0,0,0,0,0,1.886792453,0,0,1.886792453,1.886792453,7.547169811,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 6a-2 63-64,683.5,0,0,0,1.754385965,0,0,0,3.50877193,0,0,0,7.01754386,0,0,0,0,0,0,0,0,0,0,0,1.754385965,1.754385965,0,47.36842105,0,1.754385965,0,0,1.754385965,0,0,0,0,0,1.754385965,0,0,1.754385965,0,1.754385965,0,1.754385965,0,0,0,0,0,0,0,0,0,0,0,0,7.01754386,15.78947368,3.50877193,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
