Depth,Taxa
0.5,Fragmented hc
0.5,Fragmented hc
0.5,Blurry specimens
0.5,Blurry specimens
0.5,Background
0.5,Fragmented hc
0.5,Blurry specimens
0.5,Blurry specimens
0.5,Fragmented hc
0.5,Background
0.5,Background
0.5,Background
0.5,Blurry specimens
0.5,Blurry specimens
0.5,Blurry specimens
0.5,Background
0.5,Background
0.5,Background
0.5,Blurry specimens
0.5,Background
0.5,Background
0.5,Fragmented hc
0.5,Background
0.5,Psectrocladius spp
0.5,Background
0.5,Micropsectra radialis
0.5,Corynoneura spp
0.5,Background
0.5,Blurry specimens
0.5,Heterotrissocladius marcidus
0.5,Fragmented hc
0.5,Fragmented hc
0.5,Fragmented hc
0.5,Background
0.5,Background
0.5,Corynoneura spp
0.5,Background
0.5,Background
0.5,Blurry specimens
0.5,Blurry specimens
0.5,Fragmented hc
0.5,Particles
0.5,Background
0.5,Multiple
0.5,Fragmented hc
0.5,Fragmented hc
0.5,Fragmented hc
0.5,Micropsectra insignilobus
0.5,Particles
0.5,Fragmented hc
0.5,Background
0.5,Fragmented hc
0.5,Multiple
0.5,Fragmented hc
0.5,Background
0.5,Chaoborus mandible
0.5,Fragmented hc
0.5,Fragmented hc
2.5,Psectrocladius spp
2.5,Tanytarsus spp
2.5,Fragmented hc
2.5,Corynoneura spp
2.5,Background
2.5,Tanytarsus lugens
2.5,Corynoneura spp
2.5,Tanytarsus lugens
2.5,Micropsectra insignilobus
2.5,Fragmented hc
2.5,Blurry specimens
2.5,Psectrocladius spp
2.5,Heterotrissocladius marcidus
2.5,unsure
2.5,unsure
2.5,Background
2.5,Fragmented hc
2.5,Tanytarsus spp
2.5,Tanytarsus spp
2.5,Psectrocladius spp
2.5,Fragmented hc
2.5,Tanytarsus spp
2.5,Corynoneura spp
2.5,Background
2.5,Tanytarsus lugens
2.5,Fragmented hc
2.5,Psectrocladius spp
2.5,Fragmented hc
2.5,Fragmented hc
2.5,Multiple
2.5,Micropsectra insignilobus
2.5,Psectrocladius spp
2.5,Fragmented hc
2.5,Particles
2.5,Orthocladiinae Diamesinae
2.5,Tanytarsus lugens
2.5,Fragmented hc
2.5,Fragmented hc
2.5,Fragmented hc
2.5,Corynoneura spp
2.5,Micropsectra insignilobus
2.5,Fragmented hc
2.5,Background
2.5,Fragmented hc
2.5,Background
2.5,Background
2.5,Multiple
2.5,Background
2.5,Background
2.5,Fragmented hc
2.5,Corynoneura spp
2.5,Psectrocladius spp
2.5,Background
2.5,Background
2.5,Tanytarsus lugens
2.5,Fragmented hc
2.5,Multiple
2.5,Multiple
2.5,Corynoneura spp
2.5,Corynoneura spp
2.5,Tanytarsus lugens
2.5,Heterotrissocladius marcidus
2.5,Fragmented hc
2.5,Tanypodinae
2.5,Background
2.5,Background
2.5,unsure
2.5,Fragmented hc
2.5,Background
2.5,Fragmented hc
2.5,Corynoneura spp
2.5,Corynoneura spp
2.5,Background
2.5,Background
2.5,Fragmented hc
2.5,Corynoneura spp
2.5,Particles
2.5,Fragmented hc
2.5,Fragmented hc
2.5,Fragmented hc
2.5,Fragmented hc
2.5,Corynoneura spp
2.5,Background
2.5,Fragmented hc
2.5,Tanypodinae
2.5,Fragmented hc
2.5,Fragmented hc
2.5,Particles
2.5,Chironomus spp
2.5,Psectrocladius spp
2.5,Fragmented hc
2.5,Fragmented hc
2.5,Multiple
2.5,Fragmented hc
2.5,Corynoneura spp
2.5,Fragmented hc
2.5,Particles
2.5,Fragmented hc
2.5,Fragmented hc
2.5,Micropsectra insignilobus
2.5,Tanypodinae
2.5,Tanypodinae
2.5,Background
2.5,Background
2.5,Fragmented hc
2.5,Corynoneura spp
2.5,Fragmented hc
2.5,Tanytarsus spp
2.5,Background
2.5,Fragmented hc
2.5,Tanytarsus spp
2.5,Background
2.5,Background
2.5,Corynoneura spp
2.5,Fragmented hc
2.5,Fragmented hc
2.5,Orthocladiinae Diamesinae
2.5,Microtendipes pedellus
2.5,Fragmented hc
2.5,Fragmented hc
2.5,Background
2.5,Orthocladiinae Diamesinae
2.5,Fragmented hc
2.5,Tanytarsus lugens
2.5,Fragmented hc
2.5,Fragmented hc
2.5,Background
2.5,Blurry specimens
2.5,Fragmented hc
2.5,Fragmented hc
2.5,Fragmented hc
2.5,Fragmented hc
2.5,Fragmented hc
2.5,Fragmented hc
2.5,unsure
2.5,Fragmented hc
2.5,Micropsectra insignilobus
2.5,Blurry specimens
2.5,Background
2.5,Fragmented hc
2.5,Background
2.5,Background
2.5,Tanypodinae
2.5,Background
2.5,Chironomus spp
2.5,Micropsectra radialis
2.5,Fragmented hc
2.5,Psectrocladius spp
2.5,Fragmented hc
2.5,Fragmented hc
2.5,Blurry specimens
2.5,Particles
2.5,Multiple
2.5,Fragmented hc
2.5,Particles
2.5,Fragmented hc
2.5,Fragmented hc
2.5,Micropsectra radialis
2.5,Psectrocladius spp
2.5,Fragmented hc
2.5,Particles
2.5,Fragmented hc
2.5,Fragmented hc
2.5,Multiple
2.5,Fragmented hc
2.5,Fragmented hc
2.5,Tanypodinae
2.5,Fragmented hc
2.5,Micropsectra radialis
2.5,Multiple
2.5,Corynoneura spp
2.5,Particles
2.5,Fragmented hc
2.5,Fragmented hc
2.5,unsure
2.5,Fragmented hc
2.5,Fragmented hc
2.5,Heterotrissocladius marcidus
2.5,Corynoneura spp
2.5,Micropsectra radialis
2.5,Corynoneura spp
2.5,Fragmented hc
2.5,Fragmented hc
2.5,Fragmented hc
2.5,Fragmented hc
2.5,unsure
2.5,Limnophyes type
2.5,Multiple
2.5,Fragmented hc
2.5,Particles
2.5,Background
2.5,Fragmented hc
2.5,Fragmented hc
2.5,Tanytarsus lugens
2.5,Mandible
2.5,Blurry specimens
2.5,Fragmented hc
2.5,Multiple
2.5,Micropsectra radialis
2.5,Background
2.5,Micropsectra insignilobus
2.5,Blurry specimens
2.5,Fragmented hc
2.5,Corynoneura spp
2.5,Background
2.5,Tanytarsus spp
2.5,Fragmented hc
2.5,Psectrocladius spp
2.5,Corynoneura spp
2.5,Tanypodinae
2.5,Fragmented hc
2.5,Micropsectra radialis
2.5,Corynoneura spp
2.5,Corynoneura spp
2.5,Psectrocladius spp
2.5,Tanytarsus spp
2.5,Fragmented hc
2.5,Tanypodinae
2.5,Multiple
2.5,Tanytarsus lugens
2.5,Micropsectra radialis
2.5,Multiple
2.5,Fragmented hc
2.5,Particles
2.5,Corynoneura spp
2.5,Fragmented hc
2.5,Fragmented hc
2.5,Micropsectra radialis
2.5,Fragmented hc
2.5,Fragmented hc
2.5,Corynoneura spp
2.5,Fragmented hc
2.5,Corynoneura spp
2.5,Fragmented hc
2.5,Fragmented hc
2.5,Micropsectra radialis
2.5,Corynoneura spp
2.5,Fragmented hc
2.5,Blurry specimens
2.5,Fragmented hc
2.5,Fragmented hc
2.5,Corynoneura spp
2.5,Microtendipes pedellus
2.5,Fragmented hc
2.5,Tanytarsus lugens
2.5,Psectrocladius spp
2.5,Fragmented hc
2.5,Fragmented hc
2.5,Fragmented hc
2.5,Microtendipes pedellus
2.5,Corynoneura spp
2.5,Background
2.5,Fragmented hc
2.5,Fragmented hc
2.5,Fragmented hc
2.5,Background
2.5,Background
2.5,Acari spp
2.5,Corynoneura spp
2.5,Tanytarsus lugens
2.5,Acari spp
2.5,Micropsectra insignilobus
2.5,Fragmented hc
2.5,Multiple
2.5,Corynoneura spp
2.5,Chironomus spp
2.5,Fragmented hc
2.5,Tanytarsus lugens
2.5,Multiple
2.5,Tanytarsus lugens
2.5,Blurry specimens
2.5,Tanytarsus spp
2.5,Tanytarsus spp
2.5,Blurry specimens
2.5,Fragmented hc
2.5,unsure
2.5,Blurry specimens
2.5,Blurry specimens
2.5,Background
2.5,Fragmented hc
2.5,unsure
2.5,Fragmented hc
2.5,Fragmented hc
2.5,Fragmented hc
2.5,Fragmented hc
2.5,Fragmented hc
2.5,Fragmented hc
4.5,Tanytarsus lugens
4.5,Fragmented hc
4.5,Micropsectra radialis
4.5,Corynoneura spp
4.5,Diatom
4.5,Fragmented hc
4.5,Background
4.5,Corynoneura spp
4.5,Corynoneura spp
4.5,Paratanytarsus austriacus
4.5,Orthocladiinae Diamesinae
4.5,Tanypodinae
4.5,Micropsectra radialis
4.5,Micropsectra radialis
4.5,Background
4.5,Psectrocladius spp
4.5,Multiple
4.5,Microtendipes pedellus
4.5,Tanytarsus lugens
4.5,Psectrocladius spp
4.5,Fragmented hc
4.5,Corynoneura spp
4.5,Psectrocladius spp
4.5,Fragmented hc
4.5,Fragmented hc
4.5,Micropsectra radialis
4.5,Tanypodinae
4.5,Micropsectra insignilobus
4.5,Fragmented hc
4.5,Multiple
4.5,Tanytarsus lugens
4.5,Background
4.5,Multiple
4.5,Micropsectra radialis
4.5,Tanytarsus lugens
4.5,Orthocladiinae Diamesinae
4.5,Fragmented hc
4.5,Particles
4.5,Fragmented hc
4.5,Blurry specimens
4.5,Tanytarsus lugens
4.5,Micropsectra insignilobus
4.5,Blurry specimens
4.5,Tanytarsus spp
4.5,Micropsectra insignilobus
4.5,Particles
4.5,Fragmented hc
4.5,Tanytarsus lugens
4.5,Chironomus spp
4.5,Micropsectra radialis
4.5,Paratanytarsus austriacus
4.5,Tanytarsus lugens
4.5,Micropsectra radialis
4.5,Particles
4.5,Fragmented hc
4.5,Fragmented hc
4.5,Tanypodinae
4.5,Particles
4.5,Micropsectra radialis
4.5,Background
4.5,Fragmented hc
4.5,Microtendipes pedellus
4.5,Psectrocladius spp
4.5,Fragmented hc
4.5,Fragmented hc
4.5,Micropsectra radialis
4.5,Fragmented hc
4.5,Heterotrissocladius marcidus
4.5,Micropsectra insignilobus
4.5,Mandible
4.5,Fragmented hc
4.5,Corynoneura spp
4.5,Particles
4.5,Background
4.5,Corynoneura spp
4.5,Blurry specimens
4.5,Fragmented hc
4.5,Heterotrissocladius marcidus
4.5,Tanytarsus spp
4.5,Pollen
4.5,Corynoneura spp
4.5,Blurry specimens
4.5,Tanytarsus lugens
4.5,Tanytarsus lugens
4.5,Background
4.5,Fragmented hc
4.5,Background
4.5,Background
4.5,Background
4.5,Corynoneura spp
4.5,Limnophyes type
4.5,Background
4.5,Particles
6.5,Corynoneura spp
6.5,Particles
6.5,Blurry specimens
6.5,Tanytarsus spp
6.5,Background
6.5,Micropsectra radialis
6.5,Multiple
6.5,Background
6.5,Tanytarsus lugens
6.5,Multiple
6.5,Particles
6.5,Fragmented hc
6.5,Fragmented hc
6.5,Tanypodinae
6.5,Fragmented hc
6.5,Fragmented hc
6.5,Fragmented hc
6.5,Fragmented hc
6.5,Micropsectra radialis
6.5,Fragmented hc
6.5,Psectrocladius spp
6.5,Corynoneura spp
6.5,Fragmented hc
6.5,Corynoneura spp
6.5,Tanytarsus lugens
6.5,Micropsectra radialis
6.5,Fragmented hc
6.5,Multiple
6.5,Fragmented hc
6.5,Fragmented hc
6.5,Fragmented hc
6.5,Fragmented hc
6.5,Fragmented hc
6.5,Fragmented hc
6.5,Micropsectra radialis
6.5,Psectrocladius spp
6.5,Corynoneura spp
6.5,unsure
6.5,Micropsectra radialis
6.5,Fragmented hc
6.5,Tanytarsus spp
6.5,Fragmented hc
6.5,Fragmented hc
6.5,Fragmented hc
6.5,Fragmented hc
6.5,Fragmented hc
6.5,Tanytarsus lugens
6.5,Tanytarsus lugens
6.5,Fragmented hc
6.5,Fragmented hc
6.5,Fragmented hc
6.5,Fragmented hc
6.5,Fragmented hc
6.5,Fragmented hc
6.5,Fragmented hc
6.5,Corynoneura spp
6.5,Fragmented hc
6.5,Fragmented hc
6.5,Psectrocladius spp
6.5,Fragmented hc
6.5,Fragmented hc
6.5,Background
6.5,Blurry specimens
6.5,Background
6.5,Micropsectra radialis
6.5,Psectrocladius spp
6.5,Fragmented hc
8.5,Microtendipes pedellus
8.5,Fragmented hc
8.5,Tanytarsus lugens
8.5,Fragmented hc
8.5,Corynoneura spp
8.5,Corynoneura spp
8.5,Fragmented hc
8.5,Background
8.5,Micropsectra radialis
8.5,Background
8.5,Background
8.5,Multiple
8.5,Tanytarsus lugens
8.5,Fragmented hc
8.5,Fragmented hc
8.5,Fragmented hc
8.5,Fragmented hc
8.5,Micropsectra radialis
8.5,Tanytarsus lugens
8.5,Fragmented hc
8.5,Tanytarsus lugens
8.5,Fragmented hc
8.5,Fragmented hc
8.5,Tanypodinae
8.5,Fragmented hc
8.5,Tanytarsus lugens
8.5,Particles
8.5,Orthocladiinae Diamesinae
8.5,unsure
8.5,Microtendipes pedellus
8.5,Multiple
8.5,Particles
8.5,Corynoneura spp
8.5,Fragmented hc
8.5,Fragmented hc
8.5,Blurry specimens
8.5,Micropsectra radialis
8.5,Fragmented hc
8.5,Fragmented hc
8.5,Fragmented hc
8.5,Fragmented hc
8.5,Fragmented hc
8.5,Fragmented hc
8.5,Fragmented hc
8.5,Tanytarsus lugens
8.5,Fragmented hc
8.5,Micropsectra insignilobus
8.5,Fragmented hc
8.5,Tanypodinae
8.5,Particles
8.5,Tanypodinae
8.5,Fragmented hc
8.5,Tanytarsus spp
8.5,Tanypodinae
8.5,Corynoneura spp
8.5,unsure
8.5,Multiple
8.5,Fragmented hc
8.5,Psectrocladius spp
8.5,Chaoborus mandible
8.5,Fragmented hc
8.5,Tanypodinae
8.5,Background
8.5,Psectrocladius spp
8.5,Fragmented hc
8.5,Fragmented hc
8.5,Fragmented hc
8.5,Fragmented hc
8.5,Tanytarsus lugens
8.5,Tanypodinae
8.5,Micropsectra radialis
8.5,Corynoneura spp
8.5,Tanytarsus lugens
8.5,Fragmented hc
8.5,Fragmented hc
8.5,Fragmented hc
8.5,Fragmented hc
8.5,Multiple
8.5,Particles
8.5,Multiple
8.5,Fragmented hc
8.5,Background
8.5,Tanypodinae
8.5,Blurry specimens
8.5,Tanytarsus spp
8.5,Corynoneura spp
8.5,Acari spp
8.5,Blurry specimens
8.5,Blurry specimens
8.5,Background
8.5,Blurry specimens
8.5,Background
8.5,Blurry specimens
8.5,Blurry specimens
8.5,Background
8.5,Background
8.5,Background
8.5,Blurry specimens
8.5,Blurry specimens
8.5,Blurry specimens
8.5,Blurry specimens
8.5,Blurry specimens
8.5,Blurry specimens
8.5,Blurry specimens
8.5,Fragmented hc
8.5,Heterotrissocladius marcidus
8.5,Multiple
8.5,Background
8.5,Background
8.5,Corynoneura spp
8.5,Fragmented hc
8.5,Fragmented hc
8.5,Orthocladiinae Diamesinae
8.5,Fragmented hc
8.5,Corynoneura spp
10.5,Psectrocladius spp
10.5,Psectrocladius spp
10.5,Fragmented hc
10.5,Fragmented hc
10.5,Psectrocladius spp
10.5,Micropsectra radialis
10.5,Micropsectra radialis
10.5,Multiple
10.5,Tanypodinae
10.5,Fragmented hc
10.5,Fragmented hc
10.5,Micropsectra radialis
10.5,Background
10.5,Psectrocladius spp
10.5,Fragmented hc
10.5,Pentaneurini spp
10.5,Fragmented hc
10.5,Tanypodinae
10.5,Fragmented hc
10.5,Fragmented hc
10.5,Psectrocladius spp
10.5,Corynoneura spp
10.5,Micropsectra radialis
10.5,Fragmented hc
10.5,Corynoneura spp
10.5,Fragmented hc
10.5,Tanytarsus lugens
10.5,Chironomus spp
10.5,Tanytarsus lugens
10.5,Fragmented hc
10.5,Fragmented hc
10.5,Corynoneura spp
10.5,Fragmented hc
10.5,Tanypodinae
10.5,Fragmented hc
10.5,Fragmented hc
10.5,Corynoneura spp
10.5,Fragmented hc
10.5,Micropsectra radialis
10.5,Background
10.5,Fragmented hc
10.5,Fragmented hc
10.5,Heterotrissocladius marcidus
10.5,Background
10.5,Micropsectra radialis
10.5,Tanypodinae
10.5,Fragmented hc
10.5,Fragmented hc
10.5,Corynoneura spp
10.5,Fragmented hc
10.5,Psectrocladius spp
10.5,Chaoborus mandible
10.5,Fragmented hc
10.5,Fragmented hc
10.5,Fragmented hc
10.5,Background
10.5,Background
10.5,Fragmented hc
10.5,Tanypodinae
10.5,Fragmented hc
10.5,Fragmented hc
10.5,Corynoneura spp
10.5,Fragmented hc
10.5,Background
10.5,Fragmented hc
10.5,Fragmented hc
10.5,unsure
10.5,Fragmented hc
10.5,Fragmented hc
10.5,unsure
10.5,Multiple
10.5,Psectrocladius spp
10.5,Fragmented hc
10.5,Background
10.5,Multiple
10.5,Multiple
10.5,Fragmented hc
10.5,Fragmented hc
10.5,Background
10.5,Fragmented hc
10.5,Micropsectra radialis
10.5,Multiple
10.5,Fragmented hc
10.5,Micropsectra radialis
10.5,Tanytarsus lugens
10.5,Fragmented hc
10.5,Fragmented hc
10.5,Fragmented hc
10.5,Fragmented hc
10.5,Fragmented hc
10.5,Fragmented hc
10.5,Fragmented hc
10.5,Fragmented hc
10.5,Micropsectra radialis
10.5,Fragmented hc
10.5,Particles
10.5,Fragmented hc
10.5,Tanytarsus lugens
10.5,Tanytarsus spp
10.5,unsure
10.5,Corynoneura spp
10.5,Fragmented hc
10.5,Fragmented hc
10.5,Micropsectra radialis
10.5,Corynoneura spp
10.5,Fragmented hc
10.5,Fragmented hc
10.5,unsure
10.5,Multiple
10.5,Fragmented hc
10.5,Fragmented hc
10.5,Micropsectra radialis
10.5,Fragmented hc
10.5,Micropsectra radialis
10.5,Multiple
10.5,Tanypodinae
10.5,Fragmented hc
10.5,Mandible
10.5,Tanytarsus lugens
10.5,Tanytarsus lugens
10.5,Background
10.5,Background
10.5,Corynoneura spp
10.5,Corynoneura spp
10.5,Tanypodinae
10.5,Multiple
10.5,Fragmented hc
10.5,Particles
10.5,Fragmented hc
10.5,Fragmented hc
10.5,Fragmented hc
10.5,Corynoneura spp
10.5,Fragmented hc
10.5,Multiple
10.5,Corynoneura spp
10.5,unsure
10.5,Tanytarsus lugens
10.5,Multiple
10.5,Fragmented hc
10.5,Fragmented hc
10.5,Heterotrissocladius marcidus
10.5,Micropsectra radialis
10.5,Heterotrissocladius marcidus
10.5,Corynoneura spp
10.5,Fragmented hc
12.5,Background
12.5,Multiple
12.5,Tanytarsus lugens
12.5,Fragmented hc
12.5,Corynoneura spp
12.5,Multiple
12.5,Fragmented hc
12.5,Fragmented hc
12.5,Corynoneura spp
12.5,Fragmented hc
12.5,Background
12.5,Tanytarsus lugens
12.5,Fragmented hc
12.5,Fragmented hc
12.5,Micropsectra insignilobus
12.5,Fragmented hc
12.5,Tanytarsus lugens
12.5,Fragmented hc
12.5,Background
12.5,Fragmented hc
12.5,Fragmented hc
12.5,Fragmented hc
12.5,Fragmented hc
12.5,Micropsectra radialis
12.5,Background
12.5,Tanytarsus lugens
12.5,Multiple
12.5,Corynoneura spp
12.5,Micropsectra radialis
12.5,Fragmented hc
12.5,Fragmented hc
12.5,Microtendipes pedellus
12.5,Tanypodinae
12.5,Fragmented hc
12.5,Tanytarsus lugens
12.5,Fragmented hc
12.5,Fragmented hc
12.5,Background
12.5,Particles
12.5,unsure
12.5,Fragmented hc
12.5,Fragmented hc
12.5,Fragmented hc
12.5,Micropsectra radialis
12.5,Fragmented hc
12.5,Corynoneura spp
12.5,Fragmented hc
12.5,Fragmented hc
12.5,Micropsectra radialis
12.5,Fragmented hc
12.5,Corynoneura spp
12.5,Fragmented hc
12.5,Fragmented hc
12.5,Fragmented hc
12.5,Background
12.5,Tanytarsus lugens
12.5,Fragmented hc
12.5,Corynoneura spp
12.5,Fragmented hc
12.5,Micropsectra radialis
12.5,Background
12.5,Micropsectra radialis
12.5,Fragmented hc
12.5,Tanytarsus spp
12.5,Tanypodinae
12.5,Heterotrissocladius marcidus
12.5,Micropsectra radialis
12.5,Multiple
12.5,Multiple
12.5,Pentaneurini spp
12.5,Background
12.5,Tanypodinae
12.5,Fragmented hc
12.5,Heterotrissocladius marcidus
12.5,Corynoneura spp
12.5,Fragmented hc
12.5,Fragmented hc
12.5,Psectrocladius spp
12.5,Fragmented hc
12.5,Fragmented hc
12.5,Tanytarsus lugens
12.5,Psectrocladius spp
12.5,Tanytarsus lugens
12.5,Fragmented hc
12.5,Fragmented hc
12.5,Fragmented hc
12.5,Fragmented hc
12.5,Pentaneurini spp
12.5,Corynoneura spp
12.5,Tanytarsus spp
12.5,Background
12.5,Corynoneura spp
12.5,Corynoneura spp
12.5,Fragmented hc
12.5,Corynoneura spp
12.5,Fragmented hc
12.5,Fragmented hc
12.5,Fragmented hc
12.5,Multiple
12.5,Heterotrissocladius marcidus
12.5,Fragmented hc
12.5,Fragmented hc
12.5,Fragmented hc
12.5,Fragmented hc
12.5,Fragmented hc
12.5,Multiple
12.5,Fragmented hc
12.5,Micropsectra radialis
12.5,Acari spp
12.5,Tanytarsus lugens
12.5,Tanytarsus lugens
12.5,Tanypodinae
12.5,Multiple
12.5,Micropsectra radialis
12.5,Particles
12.5,Corynoneura spp
12.5,Tanypodinae
12.5,Fragmented hc
12.5,Fragmented hc
12.5,Micropsectra radialis
12.5,Tanytarsus lugens
12.5,Tanypodinae
12.5,Multiple
12.5,Tanytarsus lugens
12.5,Corynoneura spp
12.5,Fragmented hc
12.5,Tanypodinae
12.5,Background
12.5,Micropsectra radialis
12.5,Fragmented hc
12.5,Fragmented hc
12.5,Pentaneurini spp
12.5,Fragmented hc
12.5,Multiple
12.5,Micropsectra radialis
12.5,Fragmented hc
12.5,Fragmented hc
12.5,Fragmented hc
12.5,Multiple
12.5,Multiple
12.5,Fragmented hc
12.5,Micropsectra radialis
12.5,Tanytarsus lugens
12.5,Corynoneura spp
12.5,Tanytarsus spp
12.5,Fragmented hc
12.5,Background
12.5,Chironomus spp
12.5,Fragmented hc
12.5,Tanytarsus lugens
12.5,Fragmented hc
12.5,Fragmented hc
12.5,Psectrocladius spp
12.5,Fragmented hc
12.5,Fragmented hc
12.5,Background
12.5,Background
12.5,Corynoneura spp
12.5,Background
12.5,Fragmented hc
12.5,Mandible
12.5,Corynoneura spp
12.5,Background
12.5,Fragmented hc
12.5,Fragmented hc
12.5,Particles
12.5,Heterotrissocladius marcidus
12.5,Fragmented hc
12.5,Fragmented hc
12.5,Tanypodinae
12.5,Psectrocladius spp
12.5,Fragmented hc
12.5,Background
14.5,Fragmented hc
14.5,Corynoneura spp
14.5,Fragmented hc
14.5,Fragmented hc
14.5,Multiple
14.5,Particles
14.5,Fragmented hc
14.5,Fragmented hc
14.5,Fragmented hc
14.5,Background
14.5,others
14.5,Multiple
14.5,Fragmented hc
14.5,Mandible
14.5,Fragmented hc
14.5,Fragmented hc
14.5,Background
14.5,Fragmented hc
14.5,Fragmented hc
14.5,Particles
14.5,Fragmented hc
14.5,Micropsectra radialis
14.5,Orthocladiinae Diamesinae
14.5,Tanypodinae
14.5,Fragmented hc
14.5,Particles
14.5,Tanypodinae
14.5,Multiple
14.5,Background
14.5,Micropsectra radialis
14.5,Multiple
14.5,Tanytarsus lugens
14.5,Fragmented hc
14.5,Background
14.5,Fragmented hc
14.5,Tanypodinae
14.5,Fragmented hc
14.5,Fragmented hc
14.5,Background
14.5,Microtendipes pedellus
14.5,Fragmented hc
14.5,Fragmented hc
14.5,Micropsectra radialis
14.5,Fragmented hc
14.5,Micropsectra radialis
14.5,Multiple
14.5,Corynoneura spp
14.5,Fragmented hc
14.5,Background
14.5,Fragmented hc
14.5,Fragmented hc
14.5,Fragmented hc
14.5,Psectrocladius spp
14.5,Blurry specimens
14.5,Fragmented hc
14.5,Fragmented hc
14.5,unsure
14.5,Psectrocladius spp
14.5,Fragmented hc
14.5,Fragmented hc
14.5,Micropsectra insignilobus
14.5,Fragmented hc
14.5,Micropsectra radialis
14.5,Fragmented hc
14.5,Fragmented hc
14.5,Fragmented hc
14.5,Fragmented hc
14.5,Fragmented hc
14.5,Corynoneura spp
14.5,Heterotrissocladius marcidus
14.5,Multiple
14.5,Fragmented hc
14.5,Fragmented hc
14.5,Micropsectra radialis
14.5,Multiple
14.5,Heterotrissocladius marcidus
14.5,Micropsectra radialis
14.5,Fragmented hc
14.5,Background
14.5,Tanypodinae
14.5,Micropsectra radialis
14.5,Corynoneura spp
14.5,Fragmented hc
14.5,Fragmented hc
14.5,Tanypodinae
14.5,Pentaneurini spp
14.5,Fragmented hc
14.5,unsure
14.5,Psectrocladius spp
14.5,Fragmented hc
14.5,Tanypodinae
14.5,Tanypodinae
14.5,Psectrocladius spp
14.5,Fragmented hc
14.5,Fragmented hc
14.5,Fragmented hc
14.5,Corynoneura spp
14.5,Fragmented hc
14.5,Fragmented hc
14.5,Fragmented hc
14.5,Micropsectra insignilobus
14.5,Tanypodinae
14.5,Fragmented hc
14.5,Fragmented hc
14.5,Fragmented hc
14.5,Micropsectra radialis
14.5,Micropsectra radialis
14.5,Micropsectra radialis
14.5,Fragmented hc
14.5,Corynoneura spp
14.5,Mandible
14.5,Fragmented hc
14.5,Fragmented hc
14.5,Fragmented hc
14.5,Fragmented hc
14.5,Fragmented hc
14.5,Fragmented hc
14.5,Background
14.5,Fragmented hc
14.5,Background
14.5,Fragmented hc
14.5,Fragmented hc
14.5,Micropsectra radialis
14.5,Micropsectra radialis
14.5,Fragmented hc
14.5,Tanypodinae
14.5,Background
14.5,Blurry specimens
14.5,Background
14.5,Background
14.5,Fragmented hc
14.5,Multiple
14.5,Fragmented hc
14.5,Tanypodinae
14.5,Fragmented hc
14.5,Background
14.5,Fragmented hc
14.5,Particles
14.5,Fragmented hc
14.5,Fragmented hc
14.5,Fragmented hc
14.5,Fragmented hc
14.5,Corynoneura spp
14.5,Fragmented hc
14.5,Fragmented hc
14.5,Fragmented hc
14.5,Multiple
14.5,Multiple
14.5,Particles
14.5,Tanypodinae
14.5,Tanypodinae
14.5,others
14.5,Tanypodinae
14.5,Corynoneura spp
14.5,Tanytarsus lugens
14.5,Background
14.5,Tanytarsus lugens
14.5,Corynoneura spp
14.5,Corynoneura spp
14.5,Multiple
14.5,Multiple
14.5,Tanypodinae
14.5,Particles
14.5,Tanytarsus lugens
14.5,Tanytarsus lugens
14.5,Fragmented hc
14.5,Fragmented hc
14.5,Fragmented hc
14.5,Fragmented hc
14.5,Fragmented hc
14.5,Background
14.5,Fragmented hc
14.5,Multiple
14.5,Micropsectra radialis
14.5,Micropsectra radialis
14.5,Fragmented hc
14.5,Fragmented hc
14.5,Microtendipes pedellus
14.5,Fragmented hc
14.5,Corynoneura spp
14.5,Micropsectra radialis
14.5,Micropsectra insignilobus
14.5,Multiple
14.5,Micropsectra radialis
14.5,Micropsectra radialis
14.5,Micropsectra insignilobus
14.5,Psectrocladius spp
14.5,unsure
14.5,Fragmented hc
14.5,Corynoneura spp
14.5,Fragmented hc
14.5,Multiple
14.5,Psectrocladius spp
14.5,Mandible
14.5,Particles
